Sample in Buffer,Sample in Window,TRIGGER,protpg_inst/data_in[23:0],protpg_inst/hsv_h[8:0],protpg_inst/hsv_s[7:0],protpg_inst/hsv_v[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,687460,71,37,122
1,1,0,687460,89,37,117
2,2,0,687460,89,37,117
3,3,0,687460,89,37,117
4,4,0,687860,89,37,117
5,5,0,687860,89,37,117
6,6,0,607860,89,46,117
7,7,0,607860,96,46,122
8,8,0,607860,96,46,122
9,9,0,607860,120,46,122
10,10,0,687860,120,46,122
11,11,0,687860,120,46,122
12,12,0,607860,120,46,122
13,13,0,607860,96,46,122
14,14,0,607460,96,46,122
15,15,0,607460,120,46,122
16,16,0,687460,120,37,122
17,17,0,687460,120,37,117
18,18,0,607460,120,37,117
19,19,0,607460,89,37,117
20,20,0,607860,89,37,117
21,21,0,607860,120,37,117
22,22,0,607860,120,46,117
23,23,0,607860,120,46,122
24,24,0,607860,120,46,122
25,25,0,607860,120,46,122
26,26,0,607860,120,46,122
27,27,0,607860,120,46,122
28,28,0,687860,120,46,122
29,29,0,687860,120,46,122
30,30,0,687460,120,46,122
31,31,0,687860,96,46,122
32,32,0,707860,96,37,122
33,33,0,707860,89,46,117
34,34,0,687c60,96,46,122
35,35,0,687c60,71,46,122
36,36,0,608060,71,54,122
37,37,0,587858,100,54,127
38,38,0,606c50,100,56,127
39,39,0,506048,120,65,128
40,40,0,486848,120,66,122
41,41,0,486848,83,61,111
42,42,0,486040,97,79,96
43,43,0,486040,120,79,106
44,44,0,405c40,120,85,106
45,45,0,405838,104,85,96
46,46,0,405438,104,83,96
47,47,0,405838,120,76,95
48,48,0,485838,118,66,90
49,49,0,485838,118,76,85
50,50,0,505c40,118,76,90
51,51,0,505c40,98,76,90
52,52,0,505c48,98,83,90
53,53,0,506048,86,83,95
54,54,0,506048,86,59,95
55,55,0,485c48,96,61,95
56,56,0,506c48,97,61,96
57,57,0,587050,97,59,96
58,58,0,607058,120,87,95
59,59,0,607458,106,68,111
60,60,0,687458,102,48,112
61,61,0,687460,95,56,112
62,62,0,687860,100,56,117
63,63,0,687860,79,37,117
64,64,0,607460,89,46,117
65,65,0,687460,96,46,122
66,66,0,687460,96,37,122
67,67,0,687460,120,37,117
68,68,0,687860,89,37,117
69,69,0,687860,89,37,117
70,70,0,687860,89,46,117
71,71,0,687860,96,46,122
72,72,0,687860,96,46,122
73,73,0,687860,96,46,122
74,74,0,687860,96,46,122
75,75,0,687860,96,46,122
76,76,0,687860,96,46,122
77,77,0,687860,96,46,122
78,78,0,687460,96,46,122
79,79,0,687460,96,46,122
80,80,0,687860,96,37,122
81,81,0,687860,89,37,117
82,82,0,687860,89,46,117
83,83,0,687860,96,46,122
84,84,0,687860,96,46,122
85,85,0,607860,96,46,122
86,86,0,607860,96,46,122
87,87,0,607860,96,46,122
88,88,0,687860,120,46,122
89,89,0,687860,120,46,122
90,90,0,687860,120,46,122
91,91,0,687860,96,46,122
