Sample in Buffer,Sample in Window,TRIGGER,MONITOR_INST/TS_S[3:0],MONITOR_INST/X[13:0],MONITOR_INST/ds,MONITOR_INST/sw,MONITOR_INST/speed_set[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,5,032e,0,0,c424
1,1,0,5,032e,0,0,c424
2,2,0,5,032e,0,0,c424
3,3,0,5,032e,0,0,c424
4,4,0,5,032e,0,0,c424
5,5,0,5,032e,0,0,c424
6,6,0,5,032e,0,0,c424
7,7,0,5,032e,0,0,c424
8,8,0,5,032e,0,0,c424
9,9,0,5,032e,0,0,c424
10,10,0,5,032e,0,0,c424
11,11,0,5,032e,0,0,c424
12,12,0,5,032e,0,0,c424
13,13,0,5,032e,0,0,c424
14,14,0,5,032e,0,0,c424
15,15,0,5,032e,0,0,c424
16,16,0,5,032e,0,0,c424
17,17,0,5,032e,0,0,c424
18,18,0,5,032e,0,0,c424
19,19,0,5,032e,0,0,c424
20,20,0,5,032e,0,0,c424
21,21,0,5,032e,0,0,c424
22,22,0,5,032e,0,0,c424
23,23,0,5,032e,0,0,c424
24,24,0,5,032e,0,0,c424
25,25,0,5,032e,0,0,c424
26,26,0,5,032e,0,0,c424
27,27,0,5,032e,0,0,c424
28,28,0,5,032e,0,0,c424
29,29,0,5,032e,0,0,c424
30,30,0,5,032e,0,0,c424
31,31,0,5,032e,0,0,c424
32,32,0,5,032e,0,0,c424
33,33,0,5,032e,0,0,c424
34,34,0,5,032e,0,0,c424
35,35,0,5,032e,0,0,c424
36,36,0,5,032e,0,0,c424
37,37,0,5,032e,0,0,c424
38,38,0,5,032e,0,0,c424
39,39,0,5,032e,0,0,c424
40,40,0,5,032e,0,0,c424
41,41,0,5,032e,0,0,c424
42,42,0,5,032e,0,0,c424
43,43,0,5,032e,0,0,c424
44,44,0,5,032e,0,0,c424
45,45,0,5,032e,0,0,c424
46,46,0,5,032e,0,0,c424
47,47,0,5,032e,0,0,c424
48,48,0,5,032e,0,0,c424
49,49,0,5,032e,0,0,c424
50,50,0,5,032e,0,0,c424
51,51,0,5,032e,0,0,c424
52,52,0,5,032e,0,0,c424
53,53,0,5,032e,0,0,c424
54,54,0,5,032e,0,0,c424
55,55,0,5,032e,0,0,c424
56,56,0,5,032e,0,0,c424
57,57,0,5,032e,0,0,c424
58,58,0,5,032e,0,0,c424
59,59,0,5,032e,0,0,c424
60,60,0,5,032e,0,0,c424
61,61,0,5,032e,0,0,c424
62,62,0,5,032e,0,0,c424
63,63,0,5,032e,0,0,c424
64,64,0,5,032e,0,0,c424
65,65,0,5,032e,0,0,c424
66,66,0,5,032e,0,0,c424
67,67,0,5,032e,0,0,c424
68,68,0,5,032e,0,0,c424
69,69,0,5,032e,0,0,c424
70,70,0,5,032e,0,0,c424
71,71,0,5,032e,0,0,c424
72,72,0,5,032e,0,0,c424
73,73,0,5,032e,0,0,c424
74,74,0,5,032e,0,0,c424
75,75,0,5,032e,0,0,c424
76,76,0,5,032e,0,0,c424
77,77,0,5,032e,0,0,c424
78,78,0,5,032e,0,0,c424
79,79,0,5,032e,0,0,c424
80,80,0,5,032e,0,0,c424
81,81,0,5,032e,0,0,c424
82,82,0,5,032e,0,0,c424
83,83,0,5,032e,0,0,c424
84,84,0,5,032e,0,0,c424
85,85,0,5,032e,0,0,c424
86,86,0,5,032e,0,0,c424
87,87,0,5,032e,0,0,c424
88,88,0,5,032e,0,0,c424
89,89,0,5,032e,0,0,c424
90,90,0,5,032e,0,0,c424
91,91,0,5,032e,0,0,c424
92,92,0,5,032e,0,0,c424
93,93,0,5,032e,0,0,c424
94,94,0,5,032e,0,0,c424
95,95,0,5,032e,0,0,c424
96,96,0,5,032e,0,0,c424
97,97,0,5,032e,0,0,c424
98,98,0,5,032e,0,0,c424
99,99,0,5,032e,0,0,c424
100,100,0,5,032e,0,0,c424
101,101,0,5,032e,0,0,c424
102,102,0,5,032e,0,0,c424
103,103,0,5,032e,0,0,c424
104,104,0,5,032e,0,0,c424
105,105,0,5,032e,0,0,c424
106,106,0,5,032e,0,0,c424
107,107,0,5,032e,0,0,c424
108,108,0,5,032e,0,0,c424
109,109,0,5,032e,0,0,c424
110,110,0,5,032e,0,0,c424
111,111,0,5,032e,0,0,c424
112,112,0,5,032e,0,0,c424
113,113,0,5,032e,0,0,c424
114,114,0,5,032e,0,0,c424
115,115,0,5,032e,0,0,c424
116,116,0,5,032e,0,0,c424
117,117,0,5,032e,0,0,c424
118,118,0,5,032e,0,0,c424
119,119,0,5,032e,0,0,c424
120,120,0,5,032e,0,0,c424
121,121,0,5,032e,0,0,c424
122,122,0,5,032e,0,0,c424
123,123,0,5,032e,0,0,c424
124,124,0,5,032e,0,0,c424
125,125,0,5,032e,0,0,c424
126,126,0,5,032e,0,0,c424
127,127,0,5,032e,0,0,c424
128,128,0,5,032e,0,0,c424
129,129,0,5,032e,0,0,c424
130,130,0,5,032e,0,0,c424
131,131,0,5,032e,0,0,c424
132,132,0,5,032e,0,0,c424
133,133,0,5,032e,0,0,c424
134,134,0,5,032e,0,0,c424
135,135,0,5,032e,0,0,c424
136,136,0,5,032e,0,0,c424
137,137,0,5,032e,0,0,c424
138,138,0,5,032e,0,0,c424
139,139,0,5,032e,0,0,c424
140,140,0,5,032e,0,0,c424
141,141,0,5,032e,0,0,c424
142,142,0,5,032e,0,0,c424
143,143,0,5,032e,0,0,c424
144,144,0,5,032e,0,0,c424
145,145,0,5,032e,0,0,c424
146,146,0,5,032e,0,0,c424
147,147,0,5,032e,0,0,c424
148,148,0,5,032e,0,0,c424
149,149,0,5,032e,0,0,c424
150,150,0,5,032e,0,0,c424
151,151,0,5,032e,0,0,c424
152,152,0,5,032e,0,0,c424
153,153,0,5,032e,0,0,c424
154,154,0,5,032e,0,0,c424
155,155,0,5,032e,0,0,c424
156,156,0,5,032e,0,0,c424
157,157,0,5,032e,0,0,c424
158,158,0,5,032e,0,0,c424
159,159,0,5,032e,0,0,c424
160,160,0,5,032e,0,0,c424
161,161,0,5,032e,0,0,c424
162,162,0,5,032e,0,0,c424
163,163,0,5,032e,0,0,c424
164,164,0,5,032e,0,0,c424
165,165,0,5,032e,0,0,c424
166,166,0,5,032e,0,0,c424
167,167,0,5,032e,0,0,c424
168,168,0,5,032e,0,0,c424
169,169,0,5,032e,0,0,c424
170,170,0,5,032e,0,0,c424
171,171,0,5,032e,0,0,c424
172,172,0,5,032e,0,0,c424
173,173,0,5,032e,0,0,c424
174,174,0,5,032e,0,0,c424
175,175,0,5,032e,0,0,c424
176,176,0,5,032e,0,0,c424
177,177,0,5,032e,0,0,c424
178,178,0,5,032e,0,0,c424
179,179,0,5,032e,0,0,c424
180,180,0,5,032e,0,0,c424
181,181,0,5,032e,0,0,c424
182,182,0,5,032e,0,0,c424
183,183,0,5,032e,0,0,c424
184,184,0,5,032e,0,0,c424
185,185,0,5,032e,0,0,c424
186,186,0,5,032e,0,0,c424
187,187,0,5,032e,0,0,c424
188,188,0,5,032e,0,0,c424
189,189,0,5,032e,0,0,c424
190,190,0,5,032e,0,0,c424
191,191,0,5,032e,0,0,c424
192,192,0,5,032e,0,0,c424
193,193,0,5,032e,0,0,c424
194,194,0,5,032e,0,0,c424
195,195,0,5,032e,0,0,c424
196,196,0,5,032e,0,0,c424
197,197,0,5,032e,0,0,c424
198,198,0,5,032e,0,0,c424
199,199,0,5,032e,0,0,c424
200,200,0,5,032e,0,0,c424
201,201,0,5,032e,0,0,c424
202,202,0,5,032e,0,0,c424
203,203,0,5,032e,0,0,c424
204,204,0,5,032e,0,0,c424
205,205,0,5,032e,0,0,c424
206,206,0,5,032e,0,0,c424
207,207,0,5,032e,0,0,c424
208,208,0,5,032e,0,0,c424
209,209,0,5,032e,0,0,c424
210,210,0,5,032e,0,0,c424
211,211,0,5,032e,0,0,c424
212,212,0,5,032e,0,0,c424
213,213,0,5,032e,0,0,c424
214,214,0,5,032e,0,0,c424
215,215,0,5,032e,0,0,c424
216,216,0,5,032e,0,0,c424
217,217,0,5,032e,0,0,c424
218,218,0,5,032e,0,0,c424
219,219,0,5,032e,0,0,c424
220,220,0,5,032e,0,0,c424
221,221,0,5,032e,0,0,c424
222,222,0,5,032e,0,0,c424
223,223,0,5,032e,0,0,c424
224,224,0,5,032e,0,0,c424
225,225,0,5,032e,0,0,c424
226,226,0,5,032e,0,0,c424
227,227,0,5,032e,0,0,c424
228,228,0,5,032e,0,0,c424
229,229,0,5,032e,0,0,c424
230,230,0,5,032e,0,0,c424
231,231,0,5,032e,0,0,c424
232,232,0,5,032e,0,0,c424
233,233,0,5,032e,0,0,c424
234,234,0,5,032e,0,0,c424
235,235,0,5,032e,0,0,c424
236,236,0,5,032e,0,0,c424
237,237,0,5,032e,0,0,c424
238,238,0,5,032e,0,0,c424
239,239,0,5,032e,0,0,c424
240,240,0,5,032e,0,0,c424
241,241,0,5,032e,0,0,c424
242,242,0,5,032e,0,0,c424
243,243,0,5,032e,0,0,c424
244,244,0,5,032e,0,0,c424
245,245,0,5,032e,0,0,c424
246,246,0,5,032e,0,0,c424
247,247,0,5,032e,0,0,c424
248,248,0,5,032e,0,0,c424
249,249,0,5,032e,0,0,c424
250,250,0,5,032e,0,0,c424
251,251,0,5,032e,0,0,c424
252,252,0,5,032e,0,0,c424
253,253,0,5,032e,0,0,c424
254,254,0,5,032e,0,0,c424
255,255,0,5,032e,0,0,c424
256,256,0,5,032e,0,0,c424
257,257,0,5,032e,0,0,c424
258,258,0,5,032e,0,0,c424
